ID;FLAG_INTRUSO_DETECTADO;FLAG_IP_EXTRANJERA;MINUTOS_CONEXION;N_CONEXION_U3M
175;0;0;15;18
176;0;0;8;14
177;0;0;14;11
178;1;1;12;1
179;0;1;8;5
180;0;0;11;9
181;1;1;10;11
182;0;1;13;18
183;0;1;12;11
184;0;0;10;15
185;0;1;15;12
186;0;0;12;10
187;0;0;10;6
188;1;1;8;10
189;0;0;7;13
190;1;1;11;2
191;0;0;11;13
192;1;0;8;15
193;0;0;10;12
194;0;0;14;6
195;0;0;11;12
196;0;0;8;8
197;0;1;11;18
198;1;0;7;10
199;1;1;8;12
200;0;0;8;15
201;0;1;13;11
202;0;0;14;9
203;0;0;10;13
204;0;0;9;7
205;0;0;10;11
206;1;1;10;3
207;0;0;12;5
208;0;0;14;18
209;0;0;10;14
210;0;0;14;1
211;0;0;8;13
212;0;1;9;16
213;0;1;7;11
214;0;0;15;15
215;0;0;10;12
216;1;0;10;18
217;0;1;15;16
218;0;0;12;19
219;0;1;13;3
220;0;0;15;12
221;1;1;12;9
222;0;1;8;18
223;0;0;12;7
224;0;0;10;5
225;0;0;12;13
226;1;1;10;19
227;0;1;7;9
228;0;0;8;6
229;0;1;14;20
230;1;1;14;0
231;1;1;9;7
232;0;1;8;17
233;0;0;8;8
234;0;0;12;14
235;1;1;13;4
236;1;0;12;16
237;1;0;13;6
238;1;0;8;9
239;1;1;11;20
240;0;0;7;15
241;1;1;11;3
242;0;0;7;13
243;1;1;8;13
244;0;1;13;13
245;0;0;10;17
246;1;1;9;14
247;1;1;9;3
248;0;0;11;15
249;1;1;11;11
250;0;0;7;1
251;1;0;12;12
252;0;1;12;3
253;1;0;9;5
254;0;0;12;5
255;0;0;8;2
256;0;0;12;2
257;0;1;11;12
258;0;0;12;5
259;0;0;12;15
260;0;1;9;4
261;0;1;15;15
262;1;0;13;8
263;1;1;8;18
264;0;0;15;13
265;0;1;10;6
266;0;0;14;3
267;0;0;15;11
268;1;1;7;13
269;1;1;7;11
270;1;0;12;6
271;0;0;13;12
272;0;0;15;2
273;0;0;9;10
274;0;0;12;11
275;0;0;15;18
276;0;0;8;14
277;0;0;14;11
278;1;1;12;1
279;0;1;8;5
280;0;0;11;9
281;1;1;10;11
282;0;1;13;18
283;0;1;12;11
284;0;0;10;15
285;0;1;15;12
286;0;0;12;10
287;0;0;10;6
288;1;1;8;10
289;0;0;7;13
290;1;1;11;2
291;0;0;11;13
292;1;0;8;15
293;0;0;10;12
294;0;0;14;6
295;0;0;11;12
296;0;0;8;8
297;0;1;11;18
298;1;0;7;10
299;1;1;8;12
300;0;0;8;15
301;0;1;13;11
302;0;0;14;9
303;0;0;10;13
304;0;0;9;7
305;0;0;10;11
306;1;1;10;3
307;0;0;12;5
308;0;0;14;18
309;0;0;10;14
310;0;0;14;1
311;0;0;8;13
312;0;1;9;16
313;0;1;7;11
314;0;0;15;15
315;0;0;10;12
316;1;0;10;18
317;0;1;15;16
318;0;0;12;19
319;0;1;13;3
320;0;0;15;12
321;1;1;12;9
322;0;1;8;18
323;0;0;12;7
324;0;0;10;5
325;0;0;12;13
326;1;1;10;19
327;0;1;7;9
328;0;0;8;6
329;0;1;14;20
330;1;1;14;0
331;1;1;9;7
332;0;1;8;17
333;0;0;8;8
334;0;0;12;14
335;1;1;13;4
336;1;0;12;16
337;1;0;13;6
338;1;0;8;9
339;1;1;11;20
340;0;0;7;15
341;1;1;11;3
342;0;0;7;13
343;1;1;8;13
344;0;1;13;13
345;0;0;10;17
346;1;1;9;14
347;1;1;9;3
348;0;0;11;15
349;1;1;11;11
350;0;0;7;1
351;1;0;12;12
352;0;1;12;3
353;1;0;9;5
354;0;0;12;5
355;0;0;8;2
356;0;0;12;2
357;0;1;11;12
358;0;0;12;5
359;0;0;12;15
360;0;1;9;4
361;0;1;15;15
362;1;0;13;8
363;1;1;8;18
364;0;0;15;13
365;0;1;10;6
366;0;0;14;3
367;0;0;15;11
368;1;1;7;13
369;1;1;7;11
370;1;0;12;6
371;0;0;13;12
372;0;0;15;2
373;0;0;9;10
374;0;0;12;11
375;0;0;15;18
376;0;0;8;14
377;0;0;14;11
378;1;1;12;1
379;0;1;8;5
380;0;0;11;9
381;1;1;10;11
382;0;1;13;18
383;0;1;12;11
384;0;0;10;15
385;0;1;15;12
386;0;0;12;10
387;0;0;10;6
388;1;1;8;10
389;0;0;7;13
390;1;1;11;2
391;0;0;11;13
392;1;0;8;15
393;0;0;10;12
394;0;0;14;6
395;0;0;11;12
396;0;0;8;8
397;0;1;11;18
398;1;0;7;10
399;1;1;8;12
400;0;0;8;15
401;0;1;13;11
402;0;0;14;9
403;0;0;10;13
404;0;0;9;7
405;0;0;10;11
406;1;1;10;3
407;0;0;12;5
408;0;0;14;18
409;0;0;10;14
410;0;0;14;1
411;0;0;8;13
412;0;1;9;16
413;0;1;7;11
414;0;0;15;15
415;0;0;10;12
416;1;0;10;18
417;0;1;15;16
418;0;0;12;19
419;0;1;13;3
420;0;0;15;12
421;1;1;12;9
422;0;1;8;18
423;0;0;12;7
424;0;0;10;5
425;0;0;12;13
426;1;1;10;19
427;0;1;7;9
428;0;0;8;6
429;0;1;14;20
430;1;1;14;0
431;1;1;9;7
432;0;1;8;17
433;0;0;8;8
434;0;0;12;14
435;1;1;13;4
436;1;0;12;16
437;1;0;13;6
438;1;0;8;9
439;1;1;11;20
440;0;0;7;15
441;1;1;11;3
442;0;0;7;13
443;1;1;8;13
444;0;1;13;13
445;0;0;10;17
446;1;1;9;14
447;1;1;9;3
448;0;0;11;15
449;1;1;11;11
450;0;0;7;1
451;1;0;12;12
452;0;1;12;3
453;1;0;9;5
454;0;0;12;5
455;0;0;8;2
456;0;0;12;2
457;0;1;11;12
458;0;0;12;5
459;0;0;12;15
460;0;1;9;4
461;0;1;15;15
462;1;0;13;8
463;1;1;8;18
464;0;0;15;13
465;0;1;10;6
466;0;0;14;3
467;0;0;15;11
468;1;1;7;13
469;1;1;7;11
470;1;0;12;6
471;0;0;13;12
472;0;0;15;2
473;0;0;9;10
474;0;0;12;11
475;0;0;15;18
476;0;0;8;14
477;0;0;14;11
478;1;1;12;1
479;0;1;8;5
480;0;0;11;9
481;1;1;10;11
482;0;1;13;18
483;0;1;12;11
484;0;0;10;15
485;0;1;15;12
486;0;0;12;10
487;0;0;10;6
488;1;1;8;10
489;0;0;7;13
490;1;1;11;2
491;0;0;11;13
492;1;0;8;15
493;0;0;10;12
494;0;0;14;6
495;0;0;11;12
496;0;0;8;8
497;0;1;11;18
498;1;0;7;10
499;1;1;8;12
500;0;0;8;15
501;0;1;13;11
502;0;0;14;9
503;0;0;10;13
504;0;0;9;7
505;0;0;10;11
506;1;1;10;3
507;0;0;12;5
508;0;0;14;18
509;0;0;10;14
510;0;0;14;1
511;0;0;8;13
512;0;1;9;16
513;0;1;7;11
514;0;0;15;15
515;0;0;10;12
516;1;0;10;18
517;0;1;15;16
518;0;0;12;19
519;0;1;13;3
520;0;0;15;12
521;1;1;12;9
522;0;1;8;18
523;0;0;12;7
524;0;0;10;5
525;0;0;12;13
526;1;1;10;19
527;0;1;7;9
528;0;0;8;6
529;0;1;14;20
530;1;1;14;0
531;1;1;9;7
532;0;1;8;17
533;0;0;8;8
534;0;0;12;14
535;1;1;13;4
536;1;0;12;16
537;1;0;13;6
538;1;0;8;9
539;1;1;11;20
540;0;0;7;15
541;1;1;11;3
542;0;0;7;13
543;1;1;8;13
544;0;1;13;13
545;0;0;10;17
546;1;1;9;14
547;1;1;9;3
548;0;0;11;15
549;1;1;11;11
550;0;0;7;1
551;1;0;12;12
552;0;1;12;3
553;1;0;9;5
554;0;0;12;5
555;0;0;8;2
556;0;0;12;2
557;0;1;11;12
558;0;0;12;5
559;0;0;12;15
560;0;1;9;4
561;0;1;15;15
562;1;0;13;8
563;1;1;8;18
564;0;0;15;13
565;0;1;10;6
566;0;0;14;3
567;0;0;15;11
568;1;1;7;13
569;1;1;7;11
570;1;0;12;6
571;0;0;13;12
572;0;0;15;2
573;0;0;9;10
574;0;0;12;11
575;0;0;15;18
576;0;0;8;14
577;0;0;14;11
578;1;1;12;1
579;0;1;8;5
580;0;0;11;9
581;1;1;10;11
582;0;1;13;18
583;0;1;12;11
584;0;0;10;15
585;0;1;15;12
586;0;0;12;10
587;0;0;10;6
588;1;1;8;10
589;0;0;7;13
590;1;1;11;2
591;0;0;11;13
592;1;0;8;15
593;0;0;10;12
594;0;0;14;6
595;0;0;11;12
596;0;0;8;8
597;0;1;11;18
598;1;0;7;10
599;1;1;8;12
600;0;0;8;15
601;0;1;13;11
602;0;0;14;9
603;0;0;10;13
604;0;0;9;7
605;0;0;10;11
606;1;1;10;3
607;0;0;12;5
608;0;0;14;18
609;0;0;10;14
610;0;0;14;1
611;0;0;8;13
612;0;1;9;16
613;0;1;7;11
614;0;0;15;15
615;0;0;10;12
616;1;0;10;18
617;0;1;15;16
618;0;0;12;19
619;0;1;13;3
620;0;0;15;12
621;1;1;12;9
622;0;1;8;18
623;0;0;12;7
624;0;0;10;5
625;0;0;12;13
626;1;1;10;19
627;0;1;7;9
628;0;0;8;6
629;0;1;14;20
630;1;1;14;0
631;1;1;9;7
632;0;1;8;17
633;0;0;8;8
634;0;0;12;14
635;1;1;13;4
636;1;0;12;16
637;1;0;13;6
638;1;0;8;9
639;1;1;11;20
640;0;0;7;15
641;1;1;11;3
642;0;0;7;13
643;1;1;8;13
644;0;1;13;13
645;0;0;10;17
646;1;1;9;14
647;1;1;9;3
648;0;0;11;15
649;1;1;11;11
650;0;0;7;1
651;1;0;12;12
652;0;1;12;3
653;1;0;9;5
654;0;0;12;5
655;0;0;8;2
656;0;0;12;2
657;0;1;11;12
658;0;0;12;5
659;0;0;12;15
660;0;1;9;4
661;0;1;15;15
662;1;0;13;8
663;1;1;8;18
664;0;0;15;13
665;0;1;10;6
666;0;0;14;3
667;0;0;15;11
668;1;1;7;13
669;1;1;7;11
670;1;0;12;6
671;0;0;13;12
672;0;0;15;2
673;0;0;9;10
674;0;0;12;11
675;0;0;15;18
676;0;0;8;14
677;0;0;14;11
678;1;1;12;1
679;0;1;8;5
680;0;0;11;9
681;1;1;10;11
682;0;1;13;18
683;0;1;12;11
684;0;0;10;15
685;0;1;15;12
686;0;0;12;10
687;0;0;10;6
688;1;1;8;10
689;0;0;7;13
690;1;1;11;2
691;0;0;11;13
692;1;0;8;15
693;0;0;10;12
694;0;0;14;6
695;0;0;11;12
696;0;0;8;8
697;0;1;11;18
698;1;0;7;10
699;1;1;8;12
700;0;0;8;15
701;0;1;13;11
702;0;0;14;9
703;0;0;10;13
704;0;0;9;7
705;0;0;10;11
706;1;1;10;3
707;0;0;12;5
708;0;0;14;18
709;0;0;10;14
710;0;0;14;1
711;0;0;8;13
712;0;1;9;16
713;0;1;7;11
714;0;0;15;15
715;0;0;10;12
716;1;0;10;18
717;0;1;15;16
718;0;0;12;19
719;0;1;13;3
720;0;0;15;12
721;1;1;12;9
722;0;1;8;18
723;0;0;12;7
724;0;0;10;5
725;0;0;12;13
726;1;1;10;19
727;0;1;7;9
728;0;0;8;6
729;0;1;14;20
730;1;1;14;0
731;1;1;9;7
732;0;1;8;17
733;0;0;8;8
734;0;0;12;14
735;1;1;13;4
736;1;0;12;16
737;1;0;13;6
738;1;0;8;9
739;1;1;11;20
740;0;0;7;15
741;1;1;11;3
742;0;0;7;13
743;1;1;8;13
744;0;1;13;13
745;0;0;10;17
746;1;1;9;14
747;1;1;9;3
748;0;0;11;15
749;1;1;11;11
750;0;0;7;1
751;1;0;12;12
752;0;1;12;3
753;1;0;9;5
754;0;0;12;5
755;0;0;8;2
756;0;0;12;2
757;0;1;11;12
758;0;0;12;5
759;0;0;12;15
760;0;1;9;4
761;0;1;15;15
762;1;0;13;8
763;1;1;8;18
764;0;0;15;13
765;0;1;10;6
766;0;0;14;3
767;0;0;15;11
768;1;1;7;13
769;1;1;7;11
770;1;0;12;6
771;0;0;13;12
772;0;0;15;2
773;0;0;9;10
774;0;0;12;11
775;0;0;15;18
776;0;0;8;14
777;0;0;14;11
778;1;1;12;1
779;0;1;8;5
780;0;0;11;9
781;1;1;10;11
782;0;1;13;18
783;0;1;12;11
784;0;0;10;15
785;0;1;15;12
786;0;0;12;10
787;0;0;10;6
788;1;1;8;10
789;0;0;7;13
790;1;1;11;2
791;0;0;11;13
792;1;0;8;15
793;0;0;10;12
794;0;0;14;6
795;0;0;11;12
796;0;0;8;8
797;0;1;11;18
798;1;0;7;10
799;1;1;8;12
800;0;0;8;15
801;0;1;13;11
802;0;0;14;9
803;0;0;10;13
804;0;0;9;7
805;0;0;10;11
806;1;1;10;3
807;0;0;12;5
808;0;0;14;18
809;0;0;10;14
810;0;0;14;1
811;0;0;8;13
812;0;1;9;16
813;0;1;7;11
814;0;0;15;15
815;0;0;10;12
816;1;0;10;18
817;0;1;15;16
818;0;0;12;19
819;0;1;13;3
820;0;0;15;12
821;1;1;12;9
822;0;1;8;18
823;0;0;12;7
824;0;0;10;5
825;0;0;12;13
826;1;1;10;19
827;0;1;7;9
828;0;0;8;6
829;0;1;14;20
830;1;1;14;0
831;1;1;9;7
832;0;1;8;17
833;0;0;8;8
834;0;0;12;14
835;1;1;13;4
836;1;0;12;16
837;1;0;13;6
838;1;0;8;9
839;1;1;11;20
840;0;0;7;15
841;1;1;11;3
842;0;0;7;13
843;1;1;8;13
844;0;1;13;13
845;0;0;10;17
846;1;1;9;14
847;1;1;9;3
848;0;0;11;15
849;1;1;11;11
850;0;0;7;1
851;1;0;12;12
852;0;1;12;3
853;1;0;9;5
854;0;0;12;5
855;0;0;8;2
856;0;0;12;2
857;0;1;11;12
858;0;0;12;5
859;0;0;12;15
860;0;1;9;4
861;0;1;15;15
862;1;0;13;8
863;1;1;8;18
864;0;0;15;13
865;0;1;10;6
866;0;0;14;3
867;0;0;15;11
868;1;1;7;13
869;1;1;7;11
870;1;0;12;6
871;0;0;13;12
872;0;0;15;2
873;0;0;9;10
874;0;0;12;11
875;0;0;15;18
876;0;0;8;14
877;0;0;14;11
878;1;1;12;1
879;0;1;8;5
880;0;0;11;9
881;1;1;10;11
882;0;1;13;18
883;0;1;12;11
884;0;0;10;15
885;0;1;15;12
886;0;0;12;10
887;0;0;10;6
888;1;1;8;10
889;0;0;7;13
890;1;1;11;2
891;0;0;11;13
892;1;0;8;15
893;0;0;10;12
894;0;0;14;6
895;0;0;11;12
896;0;0;8;8
897;0;1;11;18
898;1;0;7;10
899;1;1;8;12
900;0;0;8;15
901;0;1;13;11
902;0;0;14;9
903;0;0;10;13
904;0;0;9;7
905;0;0;10;11
906;1;1;10;3
907;0;0;12;5
908;0;0;14;18
909;0;0;10;14
910;0;0;14;1
911;0;0;8;13
912;0;1;9;16
913;0;1;7;11
914;0;0;15;15
915;0;0;10;12
916;1;0;10;18
917;0;1;15;16
918;0;0;12;19
919;0;1;13;3
920;0;0;15;12
921;1;1;12;9
922;0;1;8;18
923;0;0;12;7
924;0;0;10;5
925;0;0;12;13
926;1;1;10;19
927;0;1;7;9
928;0;0;8;6
929;0;1;14;20
930;1;1;14;0
931;1;1;9;7
932;0;1;8;17
933;0;0;8;8
934;0;0;12;14
935;1;1;13;4
936;1;0;12;16
937;1;0;13;6
938;1;0;8;9
939;1;1;11;20
940;0;0;7;15
941;1;1;11;3
942;0;0;7;13
943;1;1;8;13
944;0;1;13;13
945;0;0;10;17
946;1;1;9;14
947;1;1;9;3
948;0;0;11;15
949;1;1;11;11
950;0;0;7;1
951;1;0;12;12
952;0;1;12;3
953;1;0;9;5
954;0;0;12;5
955;0;0;8;2
956;0;0;12;2
957;0;1;11;12
958;0;0;12;5
959;0;0;12;15
960;0;1;9;4
961;0;1;15;15
962;1;0;13;8
963;1;1;8;18
964;0;0;15;13
965;0;1;10;6
966;0;0;14;3
967;0;0;15;11
968;1;1;7;13
969;1;1;7;11
970;1;0;12;6
971;0;0;13;12
972;0;0;15;2
973;0;0;9;10
974;0;0;12;11
975;0;0;15;18
976;0;0;8;14
977;0;0;14;11
978;1;1;12;1
979;0;1;8;5
980;0;0;11;9
981;1;1;10;11
982;0;1;13;18
983;0;1;12;11
984;0;0;10;15
985;0;1;15;12
986;0;0;12;10
987;0;0;10;6
988;1;1;8;10
989;0;0;7;13
990;1;1;11;2
991;0;0;11;13
992;1;0;8;15
993;0;0;10;12
994;0;0;14;6
995;0;0;11;12
996;0;0;8;8
997;0;1;11;18
998;1;0;7;10
999;1;1;8;12
1000;0;0;8;15
1001;0;1;13;11
1002;0;0;14;9
1003;0;0;10;13
1004;0;0;9;7
1005;0;0;10;11
1006;1;1;10;3
1007;0;0;12;5
1008;0;0;14;18
1009;0;0;10;14
1010;0;0;14;1
1011;0;0;8;13
1012;0;1;9;16
1013;0;1;7;11
1014;0;0;15;15
1015;0;0;10;12
1016;1;0;10;18
1017;0;1;15;16
1018;0;0;12;19
1019;0;1;13;3
1020;0;0;15;12
1021;1;1;12;9
1022;0;1;8;18
1023;0;0;12;7
1024;0;0;10;5
1025;0;0;12;13
1026;1;1;10;19
1027;0;1;7;9
1028;0;0;8;6
1029;0;1;14;20
1030;1;1;14;0
1031;1;1;9;7
1032;0;1;8;17
1033;0;0;8;8
1034;0;0;12;14
1035;1;1;13;4
1036;1;0;12;16
1037;1;0;13;6
1038;1;0;8;9
1039;1;1;11;20
1040;0;0;7;15
1041;1;1;11;3
1042;0;0;7;13
1043;1;1;8;13
1044;0;1;13;13
1045;0;0;10;17
1046;1;1;9;14
1047;1;1;9;3
1048;0;0;11;15
1049;1;1;11;11
1050;0;0;7;1
1051;1;0;12;12
1052;0;1;12;3
1053;1;0;9;5
1054;0;0;12;5
1055;0;0;8;2
1056;0;0;12;2
1057;0;1;11;12
1058;0;0;12;5
1059;0;0;12;15
1060;0;1;9;4
1061;0;1;15;15
1062;1;0;13;8
1063;1;1;8;18
1064;0;0;15;13
1065;0;1;10;6
1066;0;0;14;3
1067;0;0;15;11
1068;1;1;7;13
1069;1;1;7;11
1070;1;0;12;6
1071;0;0;13;12
1072;0;0;15;2
1073;0;0;9;10
1074;0;0;12;11
1075;0;0;15;18
1076;0;0;8;14
1077;0;0;14;11
1078;1;1;12;1
1079;0;1;8;5
1080;0;0;11;9
1081;1;1;10;11
1082;0;1;13;18
1083;0;1;12;11
1084;0;0;10;15
1085;0;1;15;12
1086;0;0;12;10
1087;0;0;10;6
1088;1;1;8;10
1089;0;0;7;13
1090;1;1;11;2
1091;0;0;11;13
1092;1;0;8;15
1093;0;0;10;12
1094;0;0;14;6
1095;0;0;11;12
1096;0;0;8;8
1097;0;1;11;18
1098;1;0;7;10
1099;1;1;8;12
1100;0;0;8;15
1101;0;1;13;11
1102;0;0;14;9
1103;0;0;10;13
1104;0;0;9;7
1105;0;0;10;11
1106;1;1;10;3
1107;0;0;12;5
1108;0;0;14;18
1109;0;0;10;14
1110;0;0;14;1
1111;0;0;8;13
1112;0;1;9;16
1113;0;1;7;11
1114;0;0;15;15
1115;0;0;10;12
1116;1;0;10;18
1117;0;1;15;16
1118;0;0;12;19
1119;0;1;13;3
1120;0;0;15;12
1121;1;1;12;9
1122;0;1;8;18
1123;0;0;12;7
1124;0;0;10;5
1125;0;0;12;13
1126;1;1;10;19
1127;0;1;7;9
1128;0;0;8;6
1129;0;1;14;20
1130;1;1;14;0
1131;1;1;9;7
1132;0;1;8;17
1133;0;0;8;8
1134;0;0;12;14
1135;1;1;13;4
1136;1;0;12;16
1137;1;0;13;6
1138;1;0;8;9
1139;1;1;11;20
1140;0;0;7;15
1141;1;1;11;3
1142;0;0;7;13
1143;1;1;8;13
1144;0;1;13;13
1145;0;0;10;17
1146;1;1;9;14
1147;1;1;9;3
1148;0;0;11;15
1149;1;1;11;11
1150;0;0;7;1
1151;1;0;12;12
1152;0;1;12;3
1153;1;0;9;5
1154;0;0;12;5
1155;0;0;8;2
1156;0;0;12;2
1157;0;1;11;12
1158;0;0;12;5
1159;0;0;12;15
1160;0;1;9;4
1161;0;1;15;15
1162;1;0;13;8
1163;1;1;8;18
1164;0;0;15;13
1165;0;1;10;6
1166;0;0;14;3
1167;0;0;15;11
1168;1;1;7;13
1169;1;1;7;11
1170;1;0;12;6
1171;0;0;13;12
1172;0;0;15;2
1173;0;0;9;10
1174;0;0;12;11
1175;0;0;15;18
1176;0;0;8;14
1177;0;0;14;11
1178;1;1;12;1
1179;0;1;8;5
1180;0;0;11;9
1181;1;1;10;11
1182;0;1;13;18
1183;0;1;12;11
1184;0;0;10;15
1185;0;1;15;12
1186;0;0;12;10
1187;0;0;10;6
1188;1;1;8;10
1189;0;0;7;13
1190;1;1;11;2
1191;0;0;11;13
1192;1;0;8;15
1193;0;0;10;12
1194;0;0;14;6
1195;0;0;11;12
1196;0;0;8;8
1197;0;1;11;18
1198;1;0;7;10
1199;1;1;8;12
1200;0;0;8;15
1201;0;1;13;11
1202;0;0;14;9
1203;0;0;10;13
1204;0;0;9;7
1205;0;0;10;11
1206;1;1;10;3
1207;0;0;12;5
1208;0;0;14;18
1209;0;0;10;14
1210;0;0;14;1
1211;0;0;8;13
1212;0;1;9;16
1213;0;1;7;11
1214;0;0;15;15
1215;0;0;10;12
1216;1;0;10;18
1217;0;1;15;16
1218;0;0;12;19
1219;0;1;13;3
1220;0;0;15;12
1221;1;1;12;9
1222;0;1;8;18
1223;0;0;12;7
1224;0;0;10;5
1225;0;0;12;13
1226;1;1;10;19
1227;0;1;7;9
1228;0;0;8;6
1229;0;1;14;20
1230;1;1;14;0
1231;1;1;9;7
1232;0;1;8;17
1233;0;0;8;8
1234;0;0;12;14
1235;1;1;13;4
1236;1;0;12;16
1237;1;0;13;6
1238;1;0;8;9
1239;1;1;11;20
1240;0;0;7;15
1241;1;1;11;3
1242;0;0;7;13
1243;1;1;8;13
1244;0;1;13;13
1245;0;0;10;17
1246;1;1;9;14
1247;1;1;9;3
1248;0;0;11;15
1249;1;1;11;11
1250;0;0;7;1
1251;1;0;12;12
1252;0;1;12;3
1253;1;0;9;5
1254;0;0;12;5
1255;0;0;8;2
1256;0;0;12;2
1257;0;1;11;12
1258;0;0;12;5
1259;0;0;12;15
1260;0;1;9;4
1261;0;1;15;15
1262;1;0;13;8
1263;1;1;8;18
1264;0;0;15;13
1265;0;1;10;6
1266;0;0;14;3
1267;0;0;15;11
1268;1;1;7;13
1269;1;1;7;11
1270;1;0;12;6
1271;0;0;13;12
1272;0;0;15;2
1273;0;0;9;10
1274;0;0;12;11
1275;0;0;15;18
1276;0;0;8;14
1277;0;0;14;11
1278;1;1;12;1
1279;0;1;8;5
1280;0;0;11;9
1281;1;1;10;11
1282;0;1;13;18
1283;0;1;12;11
1284;0;0;10;15
1285;0;1;15;12
1286;0;0;12;10
1287;0;0;10;6
1288;1;1;8;10
1289;0;0;7;13
1290;1;1;11;2
1291;0;0;11;13
1292;1;0;8;15
1293;0;0;10;12
1294;0;0;14;6
1295;0;0;11;12
1296;0;0;8;8
1297;0;1;11;18
1298;1;0;7;10
1299;1;1;8;12
1300;0;0;8;15
1301;0;1;13;11
1302;0;0;14;9
1303;0;0;10;13
1304;0;0;9;7
1305;0;0;10;11
1306;1;1;10;3
1307;0;0;12;5
1308;0;0;14;18
1309;0;0;10;14
1310;0;0;14;1
1311;0;0;8;13
1312;0;1;9;16
1313;0;1;7;11
1314;0;0;15;15
1315;0;0;10;12
1316;1;0;10;18
1317;0;1;15;16
1318;0;0;12;19
1319;0;1;13;3
1320;0;0;15;12
1321;1;1;12;9
1322;0;1;8;18
1323;0;0;12;7
1324;0;0;10;5
1325;0;0;12;13
1326;1;1;10;19
1327;0;1;7;9
1328;0;0;8;6
1329;0;1;14;20
1330;1;1;14;0
1331;1;1;9;7
1332;0;1;8;17
1333;0;0;8;8
1334;0;0;12;14
1335;1;1;13;4
1336;1;0;12;16
1337;1;0;13;6
1338;1;0;8;9
1339;1;1;11;20
1340;0;0;7;15
1341;1;1;11;3
1342;0;0;7;13
1343;1;1;8;13
1344;0;1;13;13
1345;0;0;10;17
1346;1;1;9;14
1347;1;1;9;3
1348;0;0;11;15
1349;1;1;11;11
1350;0;0;7;1
1351;1;0;12;12
